time,temperature_2m (°F),rain (inch),soil_temperature_0_to_7cm (°F),soil_moisture_0_to_7cm (m³/m³)
2020-01-01T12:00,42.2,0.0,33.1,0.376
2020-01-02T12:00,50.2,0.0,44.3,0.368
2020-01-03T12:00,38.3,0.0,40.9,0.361
2020-01-04T12:00,34.9,0.0,37.6,0.357
2020-01-05T12:00,41.2,0.0,37.1,0.364
2020-01-06T12:00,38.6,0.0,37.9,0.358
2020-01-07T12:00,40.7,0.0,35.7,0.352
2020-01-08T12:00,24.4,0.0,32.8,0.349
2020-01-09T12:00,49.8,0.102,31.0,0.373
2020-01-10T12:00,53.0,0.0,47.5,0.362
2020-01-11T12:00,35.5,0.024,38.3,0.417
2020-01-12T12:00,30.1,0.0,33.8,0.397
2020-01-13T12:00,35.6,0.0,36.8,0.388
2020-01-14T12:00,44.5,0.0,39.5,0.387
2020-01-15T12:00,42.8,0.031,39.2,0.39
2020-01-16T12:00,22.9,0.0,32.3,0.378
2020-01-17T12:00,28.7,0.0,28.3,0.373
2020-01-18T12:00,35.6,0.031,29.8,0.419
2020-01-19T12:00,12.7,0.0,29.3,0.396
2020-01-20T12:00,20.2,0.0,27.4,0.388
2020-01-21T12:00,31.0,0.0,28.3,0.383
2020-01-22T12:00,35.6,0.0,29.4,0.379
2020-01-23T12:00,34.6,0.0,30.9,0.376
2020-01-24T12:00,37.1,0.0,33.7,0.401
2020-01-25T12:00,31.9,0.004,32.8,0.39
2020-01-26T12:00,31.7,0.0,33.2,0.38
2020-01-27T12:00,31.0,0.0,33.1,0.375
2020-01-28T12:00,31.9,0.0,33.5,0.372
2020-01-29T12:00,32.6,0.0,33.2,0.369
2020-01-30T12:00,36.3,0.0,36.2,0.367
2020-01-31T12:00,40.6,0.0,37.3,0.367
2020-02-01T12:00,37.6,0.0,36.0,0.376
2020-02-02T12:00,57.8,0.0,44.0,0.373
2020-02-03T12:00,54.7,0.0,44.2,0.366
2020-02-04T12:00,35.6,0.0,38.2,0.361
2020-02-05T12:00,32.7,0.0,35.3,0.356
2020-02-06T12:00,30.2,0.0,32.5,0.361
2020-02-07T12:00,35.1,0.0,34.7,0.358
2020-02-08T12:00,35.0,0.0,37.0,0.355
2020-02-09T12:00,34.2,0.02,33.7,0.362
2020-02-10T12:00,32.8,0.0,36.1,0.377
2020-02-11T12:00,37.6,0.0,38.2,0.371
2020-02-12T12:00,37.3,0.004,32.3,0.369
2020-02-13T12:00,20.1,0.0,29.7,0.366
2020-02-14T12:00,14.0,0.0,27.5,0.364
2020-02-15T12:00,32.4,0.0,28.5,0.362
2020-02-16T12:00,40.8,0.0,30.0,0.361
2020-02-17T12:00,38.5,0.067,35.4,0.385
2020-02-18T12:00,35.5,0.0,35.9,0.387
2020-02-19T12:00,31.1,0.0,33.3,0.373
2020-02-20T12:00,25.2,0.0,31.7,0.368
2020-02-21T12:00,35.0,0.0,28.7,0.366
2020-02-22T12:00,46.9,0.0,33.0,0.362
2020-02-23T12:00,52.2,0.0,42.7,0.357
2020-02-24T12:00,40.7,0.087,37.1,0.382
2020-02-25T12:00,35.5,0.055,34.8,0.403
2020-02-26T12:00,31.9,0.0,33.3,0.39
2020-02-27T12:00,33.0,0.0,33.4,0.377
2020-02-28T12:00,27.9,0.0,33.0,0.371
2020-02-29T12:00,35.3,0.0,30.2,0.369
2020-03-01T12:00,58.3,0.0,42.0,0.371
2020-03-02T12:00,47.2,0.0,45.3,0.394
2020-03-03T12:00,50.2,0.016,44.3,0.381
2020-03-04T12:00,46.3,0.0,45.9,0.37
2020-03-05T12:00,53.6,0.0,46.1,0.359
2020-03-06T12:00,41.6,0.0,43.2,0.353
