time,temperature_2m (°F),rain (inch),soil_temperature_0_to_7cm (°F),soil_moisture_0_to_7cm (m³/m³)
2020-01-01T12:00,29.6,0.039,27.1,0.434
2020-01-02T12:00,31.6,0.0,29.0,0.434
2020-01-03T12:00,28.4,0.0,29.3,0.434
2020-01-04T12:00,17.9,0.0,29.7,0.434
2020-01-05T12:00,32.3,0.0,29.6,0.434
2020-01-06T12:00,23.0,0.0,27.1,0.433
2020-01-07T12:00,10.6,0.0,27.8,0.433
2020-01-08T12:00,0.3,0.0,28.3,0.433
2020-01-09T12:00,14.8,0.0,28.9,0.433
2020-01-10T12:00,0.2,0.0,29.8,0.433
2020-01-11T12:00,-7.3,0.0,28.5,0.432
2020-01-12T12:00,10.8,0.0,29.3,0.432
2020-01-13T12:00,20.8,0.0,30.5,0.432
2020-01-14T12:00,2.4,0.0,27.4,0.432
2020-01-15T12:00,-1.8,0.0,27.3,0.432
2020-01-16T12:00,-13.2,0.0,27.0,0.432
2020-01-17T12:00,20.8,0.0,28.1,0.431
2020-01-18T12:00,1.7,0.0,27.1,0.431
2020-01-19T12:00,-2.8,0.0,27.2,0.431
2020-01-20T12:00,-3.9,0.0,27.0,0.431
2020-01-21T12:00,20.4,0.0,27.0,0.431
2020-01-22T12:00,23.9,0.0,27.2,0.431
2020-01-23T12:00,26.3,0.0,30.4,0.431
2020-01-24T12:00,26.1,0.0,30.2,0.431
2020-01-25T12:00,24.0,0.0,30.3,0.43
2020-01-26T12:00,25.1,0.0,30.5,0.43
2020-01-27T12:00,17.4,0.0,27.7,0.43
2020-01-28T12:00,13.1,0.0,27.2,0.429
2020-01-29T12:00,20.1,0.0,28.8,0.429
2020-01-30T12:00,25.2,0.0,31.0,0.429
2020-01-31T12:00,26.9,0.0,27.9,0.429
2020-02-01T12:00,32.0,0.0,27.3,0.429
2020-02-02T12:00,36.9,0.0,27.4,0.456
2020-02-03T12:00,17.2,0.0,27.7,0.473
2020-02-04T12:00,11.5,0.0,28.7,0.466
2020-02-05T12:00,21.9,0.0,27.0,0.462
2020-02-06T12:00,19.3,0.0,28.8,0.459
2020-02-07T12:00,-0.6,0.0,26.9,0.457
2020-02-08T12:00,19.3,0.0,28.1,0.455
2020-02-09T12:00,23.2,0.0,30.3,0.452
2020-02-10T12:00,27.8,0.0,27.2,0.45
2020-02-11T12:00,24.6,0.0,27.1,0.449
2020-02-12T12:00,-8.5,0.0,27.0,0.448
2020-02-13T12:00,-6.3,0.0,26.3,0.447
2020-02-14T12:00,16.1,0.0,26.6,0.446
2020-02-15T12:00,26.0,0.0,27.1,0.446
2020-02-16T12:00,13.4,0.0,26.9,0.446
2020-02-17T12:00,26.0,0.0,30.5,0.445
2020-02-18T12:00,8.0,0.0,26.9,0.445
2020-02-19T12:00,0.0,0.0,26.5,0.444
2020-02-20T12:00,9.4,0.0,26.0,0.444
2020-02-21T12:00,32.5,0.0,26.5,0.444
2020-02-22T12:00,33.0,0.0,26.8,0.444
2020-02-23T12:00,35.1,0.0,27.0,0.444
2020-02-24T12:00,30.0,0.0,27.1,0.443
2020-02-25T12:00,21.6,0.0,26.9,0.443
2020-02-26T12:00,18.7,0.0,30.4,0.442
2020-02-27T12:00,15.3,0.0,29.2,0.442
2020-02-28T12:00,21.1,0.0,30.1,0.441
2020-02-29T12:00,36.0,0.0,30.3,0.44
2020-03-01T12:00,36.8,0.0,27.2,0.449
2020-03-02T12:00,30.3,0.0,30.2,0.455
2020-03-03T12:00,35.1,0.0,29.7,0.452
2020-03-04T12:00,34.1,0.0,29.7,0.46
2020-03-05T12:00,34.6,0.0,29.5,0.489
2020-03-06T12:00,31.2,0.0,29.9,0.483
2020-03-07T12:00,40.4,0.0,29.5,0.5
2020-03-08T12:00,38.5,0.0,29.5,0.514
2020-03-09T12:00,16.9,0.0,27.5,0.499
2020-03-10T12:00,28.1,0.0,31.2,0.487
2020-03-11T12:00,40.3,0.0,30.6,0.497
2020-03-12T12:00,36.8,0.016,30.9,0.519
2020-03-13T12:00,24.3,0.0,31.1,0.494
2020-03-14T12:00,20.3,0.0,29.0,0.49
2020-03-15T12:00,30.4,0.0,29.7,0.485
2020-03-16T12:00,27.2,0.0,29.0,0.482
2020-03-17T12:00,30.8,0.0,28.2,0.479
2020-03-18T12:00,34.3,0.0,30.4,0.486
